variable,carrier,sector,product,region,model,scenario,source,unit,comment,2020
Emissions Intensity|H2|International Shipping,H2,International Shipping,NOx,World,,,"de Vries (2019), p34-36 https://repository.tudelft.nl/islandora/object/uuid:be8cbe0a-28ec-4bd9-8ad0-648de04649b8?collection=education, updated following discussions with de Vries on 11/05/2022 and based on no SCR",kg NOx / MWh,NOx emissions from use of NH3/H2 blends as a maritime transport fuel in ICE engines may be the same as for the fossil fuels they replace (eg diesel). H2 Fuel cells may also be used for shipping which have no tail pipe emissions,2.4
Emissions Intensity|H2|Energy Sector,H2,Energy Sector,NOx,World,,,"Shen et al (2017) doi: 10.1016/j.egypro.2017.03.750, (high end) and https://publications.jrc.ec.europa.eu/repository/handle/JRC21207 table A1, and Shirkey et al (2021) https://doi.org/10.3390/en14092633",kg NOx / MWh,"NOx emissions from H2/NH3 blends are an issue to be addressed. These are assumed to be limited by regulation to current levels. Actual NOx emissions in China are used as a proxy for average global NOx emissions, in the high case, and average NOx emissions from CH4 (EEA EU Default) is used in for the low case, noting this varies widely within and across countries.",0.32
Emissions Intensity|H2|Aircraft,H2,Aircraft,NOx,World,,,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf Table 3.6.5,kg NOx/TJ,"NOx emissions from H2/NH3-powered aircraft may be lower than jetfuel if there is greater capacity to control the combustion conditions but at this stage it is uncertain. Talal Yusaf et al. (2022) . https://doi.org/10.3390/su14010548, and McKinsey & Company (2020) https://www.fch.europa.eu/sites/default/files/FCH%20Docs/20200507_Hydrogen%20Powered%20Aviation%20report_FINAL%20web%20%28ID%208706035%29.pdf ",225
Emissions Intensity|H2|Transportation Sector,H2,Transportation Sector,NOx,World,,,,,Assumed to be via fuel cells. No tail pipe emissions from fuel cells,0
Emissions Intensity|NH3|International Shipping,NH3,International Shipping,NOx,World,,,"de Vries (2019), p34-36 https://repository.tudelft.nl/islandora/object/uuid:be8cbe0a-28ec-4bd9-8ad0-648de04649b8?collection=education, updated following discussions with de Vries on 11/05/2022",kg NOx / MWh,NOx emissions from use of NH3/H2 blends as a maritime transport fuel in ICE engines may be the same as for the fossil fuels they replace (eg diesel),2.4
Emissions Intensity|NH3|Energy Sector,NH3,Energy Sector,NOx,World,,,"Shen et al (2017) doi: 10.1016/j.egypro.2017.03.750, (high end) and https://publications.jrc.ec.europa.eu/repository/handle/JRC21207 table A1, and Shirkey et al (2021) https://doi.org/10.3390/en14092633",kg NOx / MWh,"NOx emissions from H2/NH3 blends are an issue to be addressed. These are assumed to be limited by regulation to current levels. Actual NOx emissions in China are used as a proxy for average global NOx emissions, although these vary widely.",0.32
Emissions Intensity|NH3|Aircraft,NH3,Aircraft,NOx,World,,,"https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf, Table 3.6.5",kg NOx/TJ,NOx emissions from H2-powered (and NH3/H2 blend fuels) aircraft may be lower than jetfuel if there is greater capacity to control the combustion conditions but at this stage it is uncertain. McKinsey & Company (2020) https://www.fch.europa.eu/sites/default/files/FCH%20Docs/20200507_Hydrogen%20Powered%20Aviation%20report_FINAL%20web%20%28ID%208706035%29.pdf,225
Emissions Intensity|NH3|Transportation Sector,NH3,Transportation Sector,NOx,World,,,"Mounam-Rousselle and Brequigny (2020) https://doi.org/10.3389/fmech.2020.00070 https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf Table 3.2.2 (value for Gasoline low mileage light light duty vehicles) and S3.19 (Footnote 11) Notes that the ratio of N2O/NOx emissions suggested in the literature is 0.1-0.25 (Lipmann and
Delucchi, 2002 and Behrentz, 2003)",kg NOx/TJ,Proposing to use simple average from IPCC guidelines noting the wide range depending on vehicle type (see eg EU road vehicle emissions factors) https://www.eea.europa.eu/publications/emep-eea-guidebook-2019/part-b-sectoral-guidance-chapters/1-energy/1-a-combustion/road-transport-appendix-4-emission/view),0.57
Emissions Intensity|CH4|International Shipping,CH4,International Shipping,NOx,World,,,"Kristensen (2010) 'Energy demand and exhaust gas emissions of marine engines' is source of emissions factors, De Vries (2019) and email communication with author) and https://www.itf-oecd.org/sites/default/files/docs/man-es-decarbonisation-options-towards_2050.pdf ",g NOx/kWh,"CNG may be a transition fuel, and could offer 90% reduciton in NOx emissions compared to heavy fuel oil as a bunker fuel",1.4
Emissions Intensity|CH4|Energy Sector,CH4,Energy Sector,NOx,World,,,"High estimate is from EU Defualt EMEP/EEA (2019) https://www.eea.europa.eu//publications/emep-eea-guidebook-2019, Table 3.4. Low estimate is from US estimate in 2019 from Shirkey et al 2021 (https://doi.org/10.3390/en14092633)",g NOx/GJ,NOx emissions from LNG vary widely across countries. Propose using the EU default,77.56
