"em","sector","year","proxy_file","proxybackup_file"
"CH4","Aircraft",2015,"CH4_2015_AIR","population_2015"
"CH4","Aircraft",2020,"CH4_2015_AIR","population_2015"
"CH4","Aircraft",2030,"CH4_2015_AIR","population_2015"
"CH4","Aircraft",2040,"CH4_2015_AIR","population_2015"
"CH4","Aircraft",2050,"CH4_2015_AIR","population_2015"
"CH4","Aircraft",2060,"CH4_2015_AIR","population_2015"
"CH4","Aircraft",2070,"CH4_2015_AIR","population_2015"
"CH4","Aircraft",2080,"CH4_2015_AIR","population_2015"
"CH4","Aircraft",2090,"CH4_2015_AIR","population_2015"
"CH4","Aircraft",2100,"CH4_2015_AIR","population_2015"
"CH4","Transportation Sector",2015,"CH4_2015_TRA","population_2015"
"CH4","Transportation Sector",2020,"CH4_2015_TRA","population_2015"
"CH4","Transportation Sector",2030,"CH4_2015_TRA","population_2015"
"CH4","Transportation Sector",2040,"CH4_2015_TRA","population_2015"
"CH4","Transportation Sector",2050,"CH4_2015_TRA","population_2015"
"CH4","Transportation Sector",2060,"CH4_2015_TRA","population_2015"
"CH4","Transportation Sector",2070,"CH4_2015_TRA","population_2015"
"CH4","Transportation Sector",2080,"CH4_2015_TRA","population_2015"
"CH4","Transportation Sector",2090,"CH4_2015_TRA","population_2015"
"CH4","Transportation Sector",2100,"CH4_2015_TRA","population_2015"
"CH4","International Shipping",2015,"CH4_2015_SHP","population_2015"
"CH4","International Shipping",2020,"CH4_2020_SHP","population_2015"
"CH4","International Shipping",2030,"CH4_2030_SHP","population_2015"
"CH4","International Shipping",2040,"CH4_2040_SHP","population_2015"
"CH4","International Shipping",2050,"CH4_2050_SHP","population_2015"
"CH4","International Shipping",2060,"CH4_2050_SHP","population_2015"
"CH4","International Shipping",2070,"CH4_2050_SHP","population_2015"
"CH4","International Shipping",2080,"CH4_2050_SHP","population_2015"
"CH4","International Shipping",2090,"CH4_2050_SHP","population_2015"
"CH4","International Shipping",2100,"CH4_2050_SHP","population_2015"
"CH4","Energy Sector",2015,"CH4_2015_ENE","population_2015"
"CH4","Energy Sector",2020,"CH4_2015_ENE","population_2015"
"CH4","Energy Sector",2030,"CH4_2015_ENE","population_2015"
"CH4","Energy Sector",2040,"CH4_2015_ENE","population_2015"
"CH4","Energy Sector",2050,"CH4_2015_ENE","population_2015"
"CH4","Energy Sector",2060,"CH4_2015_ENE","population_2015"
"CH4","Energy Sector",2070,"CH4_2015_ENE","population_2015"
"CH4","Energy Sector",2080,"CH4_2015_ENE","population_2015"
"CH4","Energy Sector",2090,"CH4_2015_ENE","population_2015"
"CH4","Energy Sector",2100,"CH4_2015_ENE","population_2015"
"CO2","Aircraft",2015,"CO2_2015_AIR","population_2015"
"CO2","Aircraft",2020,"CO2_2015_AIR","population_2015"
"CO2","Aircraft",2030,"CO2_2015_AIR","population_2015"
"CO2","Aircraft",2040,"CO2_2015_AIR","population_2015"
"CO2","Aircraft",2050,"CO2_2015_AIR","population_2015"
"CO2","Aircraft",2060,"CO2_2015_AIR","population_2015"
"CO2","Aircraft",2070,"CO2_2015_AIR","population_2015"
"CO2","Aircraft",2080,"CO2_2015_AIR","population_2015"
"CO2","Aircraft",2090,"CO2_2015_AIR","population_2015"
"CO2","Aircraft",2100,"CO2_2015_AIR","population_2015"
"CO2","Transportation Sector",2015,"CO2_2015_TRA","population_2015"
"CO2","Transportation Sector",2020,"CO2_2015_TRA","population_2015"
"CO2","Transportation Sector",2030,"CO2_2015_TRA","population_2015"
"CO2","Transportation Sector",2040,"CO2_2015_TRA","population_2015"
"CO2","Transportation Sector",2050,"CO2_2015_TRA","population_2015"
"CO2","Transportation Sector",2060,"CO2_2015_TRA","population_2015"
"CO2","Transportation Sector",2070,"CO2_2015_TRA","population_2015"
"CO2","Transportation Sector",2080,"CO2_2015_TRA","population_2015"
"CO2","Transportation Sector",2090,"CO2_2015_TRA","population_2015"
"CO2","Transportation Sector",2100,"CO2_2015_TRA","population_2015"
"CO2","International Shipping",2015,"CO2_2015_SHP","population_2015"
"CO2","International Shipping",2020,"CO2_2020_SHP","population_2015"
"CO2","International Shipping",2030,"CO2_2030_SHP","population_2015"
"CO2","International Shipping",2040,"CO2_2040_SHP","population_2015"
"CO2","International Shipping",2050,"CO2_2050_SHP","population_2015"
"CO2","International Shipping",2060,"CO2_2050_SHP","population_2015"
"CO2","International Shipping",2070,"CO2_2050_SHP","population_2015"
"CO2","International Shipping",2080,"CO2_2050_SHP","population_2015"
"CO2","International Shipping",2090,"CO2_2050_SHP","population_2015"
"CO2","International Shipping",2100,"CO2_2050_SHP","population_2015"
"CO2","Energy Sector",2015,"CO2_2015_ENE","population_2015"
"CO2","Energy Sector",2020,"CO2_2015_ENE","population_2015"
"CO2","Energy Sector",2030,"CO2_2015_ENE","population_2015"
"CO2","Energy Sector",2040,"CO2_2015_ENE","population_2015"
"CO2","Energy Sector",2050,"CO2_2015_ENE","population_2015"
"CO2","Energy Sector",2060,"CO2_2015_ENE","population_2015"
"CO2","Energy Sector",2070,"CO2_2015_ENE","population_2015"
"CO2","Energy Sector",2080,"CO2_2015_ENE","population_2015"
"CO2","Energy Sector",2090,"CO2_2015_ENE","population_2015"
"CO2","Energy Sector",2100,"CO2_2015_ENE","population_2015"
"NH3","Aircraft",2015,"NH3_2015_AIR","population_2015"
"NH3","Aircraft",2020,"NH3_2015_AIR","population_2015"
"NH3","Aircraft",2030,"NH3_2015_AIR","population_2015"
"NH3","Aircraft",2040,"NH3_2015_AIR","population_2015"
"NH3","Aircraft",2050,"NH3_2015_AIR","population_2015"
"NH3","Aircraft",2060,"NH3_2015_AIR","population_2015"
"NH3","Aircraft",2070,"NH3_2015_AIR","population_2015"
"NH3","Aircraft",2080,"NH3_2015_AIR","population_2015"
"NH3","Aircraft",2090,"NH3_2015_AIR","population_2015"
"NH3","Aircraft",2100,"NH3_2015_AIR","population_2015"
"NH3","Transportation Sector",2015,"NH3_2015_TRA","population_2015"
"NH3","Transportation Sector",2020,"NH3_2015_TRA","population_2015"
"NH3","Transportation Sector",2030,"NH3_2015_TRA","population_2015"
"NH3","Transportation Sector",2040,"NH3_2015_TRA","population_2015"
"NH3","Transportation Sector",2050,"NH3_2015_TRA","population_2015"
"NH3","Transportation Sector",2060,"NH3_2015_TRA","population_2015"
"NH3","Transportation Sector",2070,"NH3_2015_TRA","population_2015"
"NH3","Transportation Sector",2080,"NH3_2015_TRA","population_2015"
"NH3","Transportation Sector",2090,"NH3_2015_TRA","population_2015"
"NH3","Transportation Sector",2100,"NH3_2015_TRA","population_2015"
"NH3","International Shipping",2015,"NH3_2015_SHP","population_2015"
"NH3","International Shipping",2020,"NH3_2020_SHP","population_2015"
"NH3","International Shipping",2030,"NH3_2030_SHP","population_2015"
"NH3","International Shipping",2040,"NH3_2040_SHP","population_2015"
"NH3","International Shipping",2050,"NH3_2050_SHP","population_2015"
"NH3","International Shipping",2060,"NH3_2050_SHP","population_2015"
"NH3","International Shipping",2070,"NH3_2050_SHP","population_2015"
"NH3","International Shipping",2080,"NH3_2050_SHP","population_2015"
"NH3","International Shipping",2090,"NH3_2050_SHP","population_2015"
"NH3","International Shipping",2100,"NH3_2050_SHP","population_2015"
"NH3","Energy Sector",2015,"NH3_2015_ENE","population_2015"
"NH3","Energy Sector",2020,"NH3_2015_ENE","population_2015"
"NH3","Energy Sector",2030,"NH3_2015_ENE","population_2015"
"NH3","Energy Sector",2040,"NH3_2015_ENE","population_2015"
"NH3","Energy Sector",2050,"NH3_2015_ENE","population_2015"
"NH3","Energy Sector",2060,"NH3_2015_ENE","population_2015"
"NH3","Energy Sector",2070,"NH3_2015_ENE","population_2015"
"NH3","Energy Sector",2080,"NH3_2015_ENE","population_2015"
"NH3","Energy Sector",2090,"NH3_2015_ENE","population_2015"
"NH3","Energy Sector",2100,"NH3_2015_ENE","population_2015"
"NH3","Industrial Sector",2015,"NH3_2015_IND","population_2015"
"NH3","Industrial Sector",2020,"NH3_2015_IND","population_2015"
"NH3","Industrial Sector",2030,"NH3_2015_IND","population_2015"
"NH3","Industrial Sector",2040,"NH3_2015_IND","population_2015"
"NH3","Industrial Sector",2050,"NH3_2015_IND","population_2015"
"NH3","Industrial Sector",2060,"NH3_2015_IND","population_2015"
"NH3","Industrial Sector",2070,"NH3_2015_IND","population_2015"
"NH3","Industrial Sector",2080,"NH3_2015_IND","population_2015"
"NH3","Industrial Sector",2090,"NH3_2015_IND","population_2015"
"NH3","Industrial Sector",2100,"NH3_2015_IND","population_2015"
"NOx","Aircraft",2015,"NOx_2015_AIR","population_2015"
"NOx","Aircraft",2020,"NOx_2015_AIR","population_2015"
"NOx","Aircraft",2030,"NOx_2015_AIR","population_2015"
"NOx","Aircraft",2040,"NOx_2015_AIR","population_2015"
"NOx","Aircraft",2050,"NOx_2015_AIR","population_2015"
"NOx","Aircraft",2060,"NOx_2015_AIR","population_2015"
"NOx","Aircraft",2070,"NOx_2015_AIR","population_2015"
"NOx","Aircraft",2080,"NOx_2015_AIR","population_2015"
"NOx","Aircraft",2090,"NOx_2015_AIR","population_2015"
"NOx","Aircraft",2100,"NOx_2015_AIR","population_2015"
"NOx","Transportation Sector",2015,"NOx_2015_TRA","population_2015"
"NOx","Transportation Sector",2020,"NOx_2015_TRA","population_2015"
"NOx","Transportation Sector",2030,"NOx_2015_TRA","population_2015"
"NOx","Transportation Sector",2040,"NOx_2015_TRA","population_2015"
"NOx","Transportation Sector",2050,"NOx_2015_TRA","population_2015"
"NOx","Transportation Sector",2060,"NOx_2015_TRA","population_2015"
"NOx","Transportation Sector",2070,"NOx_2015_TRA","population_2015"
"NOx","Transportation Sector",2080,"NOx_2015_TRA","population_2015"
"NOx","Transportation Sector",2090,"NOx_2015_TRA","population_2015"
"NOx","Transportation Sector",2100,"NOx_2015_TRA","population_2015"
"NOx","International Shipping",2015,"NOx_2015_SHP","population_2015"
"NOx","International Shipping",2020,"NOx_2020_SHP","population_2015"
"NOx","International Shipping",2030,"NOx_2030_SHP","population_2015"
"NOx","International Shipping",2040,"NOx_2040_SHP","population_2015"
"NOx","International Shipping",2050,"NOx_2050_SHP","population_2015"
"NOx","International Shipping",2060,"NOx_2050_SHP","population_2015"
"NOx","International Shipping",2070,"NOx_2050_SHP","population_2015"
"NOx","International Shipping",2080,"NOx_2050_SHP","population_2015"
"NOx","International Shipping",2090,"NOx_2050_SHP","population_2015"
"NOx","International Shipping",2100,"NOx_2050_SHP","population_2015"
"NOx","Energy Sector",2015,"NOx_2015_ENE","population_2015"
"NOx","Energy Sector",2020,"NOx_2015_ENE","population_2015"
"NOx","Energy Sector",2030,"NOx_2015_ENE","population_2015"
"NOx","Energy Sector",2040,"NOx_2015_ENE","population_2015"
"NOx","Energy Sector",2050,"NOx_2015_ENE","population_2015"
"NOx","Energy Sector",2060,"NOx_2015_ENE","population_2015"
"NOx","Energy Sector",2070,"NOx_2015_ENE","population_2015"
"NOx","Energy Sector",2080,"NOx_2015_ENE","population_2015"
"NOx","Energy Sector",2090,"NOx_2015_ENE","population_2015"
"NOx","Energy Sector",2100,"NOx_2015_ENE","population_2015"
"NOx","Industrial Sector",2015,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2020,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2030,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2040,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2050,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2060,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2070,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2080,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2090,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2100,"NOx_2015_IND","population_2015"
"H2","Aircraft",2015,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2020,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2030,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2040,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2050,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2060,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2070,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2080,"NOx_2015_AIR","population_2015"
